P140	— А як ви визначаєте творчі професії?

P141	— Досить просто. Така професія пов’язана зі створенням культурного продукту: книжки, повісті, поеми, вірша, фільму, вистави, сайту, програми тощо. Тобто чогось, що задовольняє певну людську потребу.

P142	— А що означає «творити для себе»?

P143	— Що процес давав людині більше задоволення, ніж результат. Наприклад, ти пишеш книжку й тішишся, створюючи персонажів, світ і зв’язки між ними. Радієш самому творенню? Тримай доступ! Радієш лише тому, що закінчив історію? Отримуй двійку! Але хіба книжку пишуть заради прибутку, поваги близьких чи лестощів критиків? Ні. Ось так усе просто.

P144	— Справді просто. А як заробляти своєю працею? Якщо нічого їсти, творити складно. Хтось казав, що найкраще твориться в бідності й голоді, але я вважаю: гарна квартира, смачна їжа й гідна оплата праці — речі необхідні.

P145	— Знов-таки, у розумних межах. Маєш змогу поліпшити житло й харчування — ніхто не заважає. Але якщо твориш лише заради надмірного комфорту — тоді ні.

P146	— Логічно.

P147	— Добре. Дім є. Мережа теж. Переваги перелічили. На запитання залишилося лише п’ятнадцять хвилин. Ставте. — Наталія відклала теку, випросталася на стільці й схрестила руки.

P148	— Дуже дякую за інформацію. З нею якось простіше. Запитання є, і я не певен, що встигну поставити всі.

P149	— Вибирайте пріоритетні.
