P001	<b>01.04.2132, 21:32. Позакорабельна діяльність</b>

P002	Минуло пів року, а вона й досі прекрасна. Зелено-блакитна кулька, яка завдяки щасливому випадку стала батьківщиною майбутніх підкорювачів космосу. Коли дивишся з гало-орбіти Місяця, одразу розумієш, які дріб’язкові чвари ми затіваємо в масштабах не те що Всесвіту — навіть нашої Сонячної системи. Крижана душа космосу лякала багатьох моторошною байдужістю й тишею, та йому подобалася. У цій тиші було коли подумати: космос став його новим домом. Попри трагедію з батьком під час будівництва другої орбітальної бази, він любив космос усім серцем. І вірив, що власним теплом та завзяттям зуміє відкрити іншим ту саму красу, яку бачив тут сам.

P003	Кинувши лише один погляд на батьківщину людства, лейтенант Сергій Баровський знову взявся оглядати сонячну панель: її пошкодили уламки дрібних метеоритів, що випадково пролетіли повз. Потай він сподівався, що то лише бруд. Тоді не доведеться міняти цілі блоки батарей, як у разі мікротріщин. Адже лише тиждень тому вони замінили цілу секцію останніми запасними панелями. Хтось святкував день народження й жартома викинув зі шлюзу рештки використаного місячного льоду. Що могло піти не так? Еге ж? А таки могло. І пішло. Несподівано потужний потік сонячного вітру, що мчав зі швидкістю близько восьмисот кілометрів на секунду, розігнав уламки льоду до неймовірної швидкості. Вони по дотичній зачепили секцію 24-А, тож довелося діставати останні запасні сонячні батареї. Нових чекати аж пів року! «Просто дотримуйся правил — і нічого не станеться», — думав технік. Так… Усе-таки бруд. Чудово! Швиденько почистити — і додому: йому кортіло почати святкувати сторіччя орбітальної станції. Генрі О’Гара, його незмінний товариш по нещастю, а за сумісництвом капітан Земного космофлоту, уже був готовий.

P004	— Генрі, я закінчив. Пощастило! Усього лише пил. Прочистив секції 3-Б і 8-С. Повертаюся.

P005	— Серж, ти «на прив’язі»? — Капітан розвалився в кріслі страхувальника й спостерігав за виходом. Келих вина чекав на нього після завершення вилазки.

P006	— Так, я від троса й не відстібався. Навіщо мені це робити?

P007	— Ах так, вічно забуваю, що ти — містер Порядок. Скільки місяців я вже кажу тобі, що життя сповнене радості у випадкових дрібницях?

P008	— Та вже всі дванадцять місяців. І це лише за цю вахту, — під світловідбивним щитком шолома майнула весела усмішка лейтенанта.

P009	— А ти й досі не слухаєш мене, мудрого. Знаєш що? У мене є для тебе подарунок на честь завтрашнього свята. Ти в «червоному» чи «синьому» вийшов?

P010	— У «червоному», за статутом необхідно брати…

